Transaction_ID,Date,Description,CNY_Sum_Debit,CNY_Sum_Credit,CNY_Ref_Debit,CNY_Ref_Credit,KRW_Sum_Debit,KRW_Sum_Credit,KRW_Ref_Debit,KRW_Ref_Credit,MYR_Sum_Debit,MYR_Sum_Credit,MYR_Ref_Debit,MYR_Ref_Credit
f2374363-0df7-5480-bd97-ce4ae0593135,2024-05-04,Tisya,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0
2b39bca2-9954-5ed1-a314-c5fd2ba34fa6,2024-05-04,Punishment,0.0,0.0,0.0,0.0,100000.0,95000.0,100000.0,95000.0,0.0,0.0,0.0,0.0
d5fc65d8-08d0-52c3-af52-598f5a690adf,2024-05-13,Wise 1 1MYR@288.217KRW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47,300.0,8.47,300.0
f7a4af1d-8c78-558e-9516-33b6a69ef08a,2024-05-13,Fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.53000000000003,0.0,291.53000000000003,0.0
ba164e8c-e98f-521a-9896-ea81d3c1e54d,2024-05-20,Buy Principal Global Titans Fund 71.02@MYR‎1.2485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0
6729861d-cba6-548e-8f7d-08b52be536b8,2024-05-20,Fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0
765e6562-2041-596c-b7e7-e0f097d30c97,2024-05-23,Buy Maybank 10@MYR‎9.9400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.43,0.0,108.43
05889b07-6acc-512c-81c8-6e5d1cb54647,2024-05-23,Fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.43,0.0,108.43,0.0
563f96ba-9477-50cd-9c2c-a84b33575501,2024-05-27,Wise 3 1MYR@290.202KRW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,1000.0,16.13,1000.0
37ad2fb0-e9e5-5bee-a0b4-90076fa343f7,2024-05-27,Fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.87,0.0,983.87,0.0
010b8ca5-b719-5bcb-9484-94969a1809fc,2024-05-29,Tisya,0.0,0.0,0.0,0.0,45000.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0
90f48c3a-8e2a-53d8-bffe-272c24bd6d7f,2024-05-29,Punishment,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,45000.0,0.0,0.0,0.0,0.0
e7bb0d4b-1688-5717-b89b-2eecb5fb17a9,2024-05-29,"Buy 현대차 0.192369@₩‎259,500",0.0,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0
a17d0f9a-5fcb-559a-8b84-670f3c11f44a,2024-05-29,Fees,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0,0.0
6850989f-d352-5718-97c7-911d81ab2535,2024-05-29,"Buy 삼성전자 0.643298@₩‎77,600",0.0,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0
26b05cf9-a403-5e71-9f40-0e935427b003,2024-05-29,Fees,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0,0.0
72a93326-98f9-59de-9b11-f4118b77bc61,2024-05-31,Wise 4 1MYR@294.432KRW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.96,513.29,11.96,513.29
d74b292e-e815-5c4c-8f58-ad982f04be75,2024-05-31,Fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.33,0.0,501.33,0.0
f3a2c63e-d3e7-53f7-825d-ddbc4ac93883,2024-06-01,GS25 w Seojin,0.0,0.0,0.0,0.0,0.0,6397.0,0.0,6397.0,0.0,0.0,0.0,0.0
cde8a12c-8b52-5ded-aade-40407e415697,2024-06-01,Seojin’s Food,0.0,0.0,0.0,0.0,4450.0,0.0,4450.0,0.0,0.0,0.0,0.0,0.0
b02010f1-4352-52e3-99dd-13f6047cabdb,2024-06-01,Mine,0.0,0.0,0.0,0.0,1947.0,0.0,1947.0,0.0,0.0,0.0,0.0,0.0
0eb1a434-1c76-51cf-bbdb-fac3c4eabd05,2024-06-02,Transfer from Savings,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,60000.0,0.0,0.0,0.0,0.0
eb337390-9eac-5497-9634-c1faefabad55,2024-06-02,Interest from Savings,0.0,0.0,0.0,0.0,60009.0,9.0,60009.0,9.0,0.0,0.0,0.0,0.0
34d3fe50-a2b8-56b1-a345-b61e58466e33,2024-06-04,Sell Principal Asia Titans Fund 71.02@MYR‎1.2501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.78,0.0,88.78
a9f21aa0-9266-5dc3-ba64-d496e7d0f837,2024-06-04,Fee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.78,0.0,88.78,0.0
21bf4189-b428-527a-b650-714790b735a3,2024-06-04,Wise 1 1MYR@293.152KRW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.23,105.72,97.23,105.72
9f53fae7-1608-5b2b-b56b-a4d93ec8a61a,2024-06-04,Fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49,0.0,8.49,0.0
2d2e4222-fdb0-5663-8f3d-ebd47f5a4036,2024-06-04,GS25 w Seojin,0.0,0.0,0.0,0.0,0.0,13588.0,0.0,13588.0,0.0,0.0,0.0,0.0
7e2b6274-d810-5afa-9104-909d11a2907d,2024-06-04,Seojin,0.0,0.0,0.0,0.0,13588.0,0.0,13588.0,0.0,0.0,0.0,0.0,0.0
ffac2a21-1732-523a-a421-7165aa56841f,2024-06-08,교통카드충전,0.0,0.0,0.0,0.0,0.0,22430.0,0.0,22430.0,0.0,0.0,0.0,0.0
a5551965-5c37-5329-9e28-51ee88ca3ea5,2024-06-08,2.5% 수수료,0.0,0.0,0.0,0.0,22430.0,0.0,22430.0,0.0,0.0,0.0,0.0,0.0
69ca62e2-a779-55d3-a0b8-94e8c06ea523,2024-06-19,e-mart birthday Teena,0.0,0.0,0.0,0.0,0.0,69890.0,0.0,69890.0,0.0,0.0,0.0,0.0
3a1cad73-68d7-5513-bf6b-63fd23f56cfa,2024-06-19,My portion,0.0,0.0,0.0,0.0,69890.0,0.0,69890.0,0.0,0.0,0.0,0.0,0.0
833739dd-5e2a-5e8c-8723-8ce5dcc6eb36,2024-06-19,Malatang birthday Teena,0.0,0.0,0.0,0.0,0.0,29000.0,0.0,29000.0,0.0,0.0,0.0,0.0
4b463e64-6030-5656-9f97-7807be5b9e90,2024-06-19,My portion,0.0,0.0,0.0,0.0,29000.0,0.0,29000.0,0.0,0.0,0.0,0.0,0.0
a731bd4a-2da7-5034-babe-4f46a9bbccdc,2024-06-26,"Buy NAVER 0.148306@₩‎168,300",0.0,0.0,0.0,0.0,0.0,24989.0,0.0,24989.0,0.0,0.0,0.0,0.0
93cc1939-3658-53df-858d-6f6062d382a5,2024-06-26,Fees,0.0,0.0,0.0,0.0,24989.0,0.0,24989.0,0.0,0.0,0.0,0.0,0.0
f1b82457-e798-5665-8ffe-606deb779aaf,2024-06-27,교통카드충전,0.0,0.0,0.0,0.0,0.0,45100.0,0.0,45100.0,0.0,0.0,0.0,0.0
5925b7ad-3437-5f2f-a426-32427c8aca80,2024-06-27,수수료,0.0,0.0,0.0,0.0,45100.0,0.0,45100.0,0.0,0.0,0.0,0.0,0.0
18608249-a634-53e0-b608-5fa61ca9aa7c,2024-07-23,GS25,0.0,0.0,0.0,0.0,0.0,10400.0,0.0,10400.0,0.0,0.0,0.0,0.0
0f41f476-bcaf-510c-85c4-e214e4583688,2024-07-23,For 현재,0.0,0.0,0.0,0.0,10400.0,0.0,10400.0,0.0,0.0,0.0,0.0,0.0
0940d980-ad19-533c-b2b2-27f855b4119c,2024-07-29,"Buy 삼양식품 0.038939@₩‎	641,000",0.0,0.0,0.0,0.0,0.0,24989.0,0.0,24989.0,0.0,0.0,0.0,0.0
d747ac75-21c4-5dd6-81d2-da9dbaa2c834,2024-07-29,Fees,0.0,0.0,0.0,0.0,24989.0,0.0,24989.0,0.0,0.0,0.0,0.0,0.0
f277ba89-ae4d-5ef8-bd03-9ebc8d580bde,2024-09-25,"Buy 삼성바이오로직스 0.046523@₩‎	1,073,000",0.0,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0
748e5a50-02f8-507e-aa3a-52eba041fd51,2024-09-25,Fees,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0,0.0
8e53a4cd-9cd6-5da8-ae34-6785a822ac36,2024-09-26,"Buy 삼성전자 0.775155@₩‎	64,400",0.0,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0
95009c6c-ed27-5f7e-bd95-0964c3bb6381,2024-09-26,Fees,0.0,0.0,0.0,0.0,49989.0,0.0,49989.0,0.0,0.0,0.0,0.0,0.0
30a52e46-2bb3-5bed-9cf4-dbb38ce18b32,2024-10-29,4 months Prepaid Plan,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,70000.0,0.0,0.0,0.0,0.0
f7ebc17a-1144-5888-b6ba-5a5a34bd8f23,2024-10-29,10월 Prepaid Phone Plan,0.0,0.0,0.0,0.0,70000.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0
68089d4a-83a6-5ac0-a73a-923abd69fc1b,2024-11-11,"Sell 신한 골드 2.85@₩‎	118,893.85",0.0,0.0,0.0,0.0,0.0,345271.12,0.0,345271.12,0.0,0.0,0.0,0.0
b8c81054-06c4-53bb-b5f2-64e4491a6ad1,2024-11-11,Loss,0.0,0.0,0.0,0.0,345271.12,0.0,345271.12,0.0,0.0,0.0,0.0,0.0
f05a1ece-8473-50a0-831f-07ee7e193d92,2024-11-11,Sell Maybank 32@MYR‎	10.3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.06,0.0,302.06
ef46521a-b938-557a-aa66-893900eca7b2,2024-11-11,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.16,30.1,332.16,30.1
1c271ae9-0fde-5749-9f4b-77fbc9dce459,2024-11-22,청년밥상문간 w Waralee,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0
6ccdffc4-187a-52d4-b5ee-dc707789877e,2024-11-22,오전송,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
ed8ffe00-6eb5-5151-87cc-f076c59be2da,2024-12-12,Total,0.0,0.0,0.0,0.0,14280.0,0.0,11000.0,11000.0,0.0,0.0,0.0,0.0
762123ea-1585-5add-9b89-8b5c06f84971,2024-12-12,쿠팡 Myothurin,0.0,0.0,0.0,0.0,0.0,14280.0,0.0,14280.0,0.0,0.0,0.0,0.0
f43da10f-9f3a-5237-866c-fd7a8c2786a8,2024-12-12,Total,0.0,0.0,0.0,0.0,27700.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0
bed7497c-433a-558c-aad0-3b3f1450b6a6,2024-12-12,다이소 Myothurin,0.0,0.0,0.0,0.0,0.0,27700.0,0.0,27700.0,0.0,0.0,0.0,0.0
28a7da8a-faeb-5a02-9717-bdce483eba52,2024-12-23,Total,0.0,0.0,0.0,0.0,30000.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0
12814cb5-425d-55d6-9a51-07dd25dae10a,2024-12-23,매가박스 Myothurin,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,30000.0,0.0,0.0,0.0,0.0
fda393f9-b8a3-50a5-81c3-3cb8dd880f93,2024-12-23,Total,0.0,0.0,0.0,0.0,16900.0,0.0,12850.0,12850.0,0.0,0.0,0.0,0.0
3afcda17-34a0-596c-adcb-81eb77ff3972,2024-12-23,매가박스 Myothurin,0.0,0.0,0.0,0.0,0.0,16900.0,0.0,16900.0,0.0,0.0,0.0,0.0
634f8253-81eb-5a43-93ab-704f38fba6c9,2025-01-06,其昌,0.0,0.0,0.0,0.0,0.0,20500.0,0.0,20500.0,0.0,0.0,0.0,0.0
8454385d-faf8-54ca-8101-7b7008bd1719,2025-01-06,学勤,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,17000.0,0.0,0.0,0.0,0.0
bce2af8b-72d9-5a7d-97b3-0219418b2684,2025-01-06,振华,0.0,0.0,0.0,0.0,0.0,102650.0,0.0,102650.0,0.0,0.0,0.0,0.0
a0b59c9e-811b-5cbf-a3dc-9d59b283842b,2025-01-06,君熙,0.0,0.0,0.0,0.0,0.0,55433.0,0.0,55433.0,0.0,0.0,0.0,0.0
95399583-64bb-5655-a1f7-7c661eb4fcff,2025-01-06,嘉男,0.0,0.0,0.0,0.0,0.0,19200.0,0.0,19200.0,0.0,0.0,0.0,0.0
36aa0a1a-25bc-51a8-8307-5d62778a9323,2025-01-06,问涛,0.0,0.0,0.0,0.0,0.0,20500.0,0.0,20500.0,0.0,0.0,0.0,0.0
69584640-9afc-5ed9-bd3a-9a8af141818c,2025-01-06,孙雅婷,0.0,0.0,0.0,0.0,0.0,182460.0,0.0,182460.0,0.0,0.0,0.0,0.0
c9012a13-4691-5209-bb14-7971ea27ec6d,2025-01-06,李思慧,0.0,0.0,0.0,0.0,0.0,63000.0,0.0,63000.0,0.0,0.0,0.0,0.0
8caef0c8-c5d2-52eb-87cc-8d154104659d,2025-01-06,UNRECORDED AR,0.0,0.0,0.0,0.0,605030.0,124287.0,605030.0,124287.0,0.0,0.0,0.0,0.0
6bc7dacf-ce09-5e52-a97d-edd9b9b7b84e,2025-03-25,떡볶이 + 튀김 和王君熙，李问涛，王其昌,0.0,0.0,0.0,0.0,0.0,54000.0,0.0,54000.0,0.0,0.0,0.0,0.0
ea2e7fe2-3dc1-579b-aef3-2e04592d35ac,2025-03-25,Partial refund,0.0,0.0,0.0,0.0,54000.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0
f7979c19-0308-5a0f-97c5-b05eb88e3627,2025-04-27,Coupang w 钱嘉男,0.0,0.0,0.0,0.0,55490.0,97610.0,55490.0,97610.0,0.0,0.0,0.0,0.0
8dc8a7e5-190f-5385-b2a9-cff15f755ed3,2025-04-27,예비비,0.0,0.0,0.0,0.0,42120.0,0.0,42120.0,0.0,0.0,0.0,0.0,0.0
eb60f9d4-2c12-5ca0-a94b-101fdf7b9128,2025-07-14,"Sell 신한 골드 1.62@₩‎	147,951.22",0.0,0.0,0.0,0.0,0.0,239868.0,0.0,239868.0,0.0,0.0,0.0,0.0
c60fad39-7463-5710-8e44-a8c04f933ccd,2025-07-14,Loss,0.0,0.0,0.0,0.0,239868.0,0.0,239868.0,0.0,0.0,0.0,0.0,0.0
eb0aed23-fa71-5680-943b-ec045f18ad2a,2025-07-17,Sell 신한미국S&P500인덱스 198927@₩‎	1.42,0.0,0.0,0.0,0.0,0.0,260925.0,0.0,260925.0,0.0,0.0,0.0,0.0
5d9e05e4-f74e-5218-8443-b12745228b32,2025-07-17,Gains,0.0,0.0,0.0,0.0,279055.0,18130.0,279055.0,18130.0,0.0,0.0,0.0,0.0
069f7c85-a28e-55dc-9d41-79f45ea48aca,2025-09-25,Exchange 1CNY@200.95 KRW,0.0,0.0,0.0,0.0,0.0,3156398.0,0.0,3156398.0,0.0,0.0,0.0,0.0
242fa832-310e-56d6-b128-3535d9ff29c1,2025-09-25,镇铭,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0
95b865dd-4ce4-5b01-99d3-8b82ac27a4c9,2025-09-25,君熙,0.0,0.0,0.0,0.0,321198.0,0.0,321198.0,0.0,0.0,0.0,0.0,0.0
9371e29d-13e6-5d89-a788-5e0c462fbaaf,2025-09-25,Cash,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0
ffac0858-3912-5143-bedf-230ccc8bd264,2025-09-25,Extra,0.0,0.0,0.0,0.0,124949.0,0.0,124949.0,0.0,0.0,0.0,0.0,0.0
a07797b6-bfff-59c3-b0dc-346aac5dd7cf,2025-09-25,还钱消费,0.0,0.0,0.0,0.0,90333.0,0.0,90333.0,0.0,0.0,0.0,0.0,0.0
7b1deb6e-d393-5ee6-9d2e-388fe3536216,2025-09-25,Exchange 1CNY@200.95 KRW,0.0,0.0,0.0,0.0,463591.0,0.0,463591.0,0.0,0.0,0.0,0.0,0.0
36b5d165-630c-5cd8-a065-0e2e68d212fa,2025-09-25,Loss,0.0,0.0,0.0,0.0,56327.0,0.0,56327.0,0.0,0.0,0.0,0.0,0.0
